Category,Review
1,"karmen moves like rhythm itself , her lips chanting to the beat , her long , braided hair doing little to wipe away the jeweled beads of sweat ."
0,"the lack of naturalness makes everything seem self-consciously poetic and forced . . . it's a pity that [nelson's] achievement doesn't match his ambition ."
1,"tender yet lacerating and darkly funny fable ."
0,"everything is off ."
1,"may be spoofing an easy target -- those old '50's giant creature features -- but . . . it acknowledges and celebrates their cheesiness as the reason why people get a kick out of watching them today ."
1,"an engaging overview of johnson's eccentric career ."
0,"an easy watch , except for the annoying demeanour of its lead character ."
1,"in its ragged , cheap and unassuming way , the movie works ."
1,"some actors have so much charisma that you'd be happy to listen to them reading the phone book . hugh grant and sandra bullock are two such likeable actors ."
1,"sandra nettelbeck beautifully orchestrates the transformation of the chilly , neurotic , and self-absorbed martha as her heart begins to open ."
1,"behind the snow games and lovable siberian huskies ( plus one sheep dog ) , the picture hosts a parka-wrapped dose of heart ."
0,"an odd , haphazard , and inconsequential romantic comedy ."
1,"everytime you think undercover brother has run out of steam , it finds a new way to surprise and amuse ."
0,"though her fans will assuredly have their funny bones tickled , others will find their humor-seeking dollars best spent elsewhere ."
0,"a static and sugary little half-hour , after-school special about interfaith understanding , stretched out to 90 minutes ."
1,"you'd think by now america would have had enough of plucky british eccentrics with hearts of gold . yet the act is still charming here ."
0,"watching the chemistry between freeman and judd , however , almost makes this movie worth seeing . almost ."
1,"whether or not you're enlightened by any of derrida's lectures on " the other " and " the self , " derrida is an undeniably fascinating and playful fellow ."
1,"this is the best american movie about troubled teens since 1998's whatever ."
0,"the characters are never more than sketches . . . which leaves any true emotional connection or identification frustratingly out of reach ."
1,"the animated subplot keenly depicts the inner struggles of our adolescent heroes - insecure , uncontrolled , and intense ."
0,"only in its final surprising shots does rabbit-proof fence find the authority it's looking for ."
0,"isn't as sharp as the original . . . despite some visual virtues , 'blade ii' just doesn't cut it ."
1,"morton is a great actress portraying a complex character , but morvern callar grows less compelling the farther it meanders from its shocking start ."
0,". . . plays like a badly edited , 91-minute trailer ( and ) the director can't seem to get a coherent rhythm going . in fact , it doesn't even seem like she tried ."
1,"son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness ."
0,"what you expect is just what you get . . . assuming the bar of expectations hasn't been raised above sixth-grade height ."
0,"the biggest problem with roger avary's uproar against the mpaa is that , even in all its director's cut glory , he's made a film that's barely shocking , barely interesting and most of all , barely anything ."
1,"a compelling coming-of-age drama about the arduous journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her dangerous and domineering mother's hold over her ."
1,"a truly moving experience , and a perfect example of how art -- when done right -- can help heal , clarify , and comfort ."
0,"i approached the usher and said that if she had to sit through it again , she should ask for a raise ."
1,"at heart the movie is a deftly wrought suspense yarn whose richer shadings work as coloring rather than substance ."
1,"the appearance of treebeard and gollum's expanded role will either have you loving what you're seeing , or rolling your eyes . i loved it ! gollum's 'performance' is incredible !"
0,"too slow for a younger crowd , too shallow for an older one ."
1,"a screenplay more ingeniously constructed than " memento ""
0,"there's a reason the studio didn't offer an advance screening . " the adventures of pluto nash " is a big time stinker ."
1,"if this movie were a book , it would be a page-turner , you can't wait to see what happens next ."
0,"the things this movie tries to get the audience to buy just won't fly with most intelligent viewers ."
1,"it's the best film of the year so far , the benchmark against which all other best picture contenders should be measured ."
0,"even if the enticing prospect of a lot of nubile young actors in a film about campus depravity didn't fade amid the deliberate , tiresome ugliness , it would be rendered tedious by avary's failure to construct a story with even a trace of dramatic interest ."
0,"sitting through the last reel ( spoiler alert ! ) is significantly less charming than listening to a four-year-old with a taste for exaggeration recount his halloween trip to the haunted house ."
1,"this is a startling film that gives you a fascinating , albeit depressing view of iranian rural life close to the iraqi border ."
0,"confuses its message with an ultimate desire to please , and contorting itself into an idea of expectation is the last thing any of these three actresses , nor their characters , deserve ."
1,"an imaginative comedy/thriller ."
0,"deadly dull , pointless meditation on losers in a gone-to-seed hotel ."
1,"a few artsy flourishes aside , narc is as gritty as a movie gets these days ."
0,"with this new rollerball , sense and sensibility have been overrun by what can only be characterized as robotic sentiment ."
1,"a sports movie with action that's exciting on the field and a story you care about off it ."
1,"doug liman , the director of bourne , directs the traffic well , gets a nice wintry look from his locations , absorbs us with the movie's spycraft and uses damon's ability to be focused and sincere ."
1,"the tenderness of the piece is still intact ."
0,"feels like a cold old man going through the motions ."
1,"like the film's almost anthropologically detailed realization of early-'80s suburbia , it's significant without being overstated ."
1,"while mcfarlane's animation lifts the film firmly above the level of other coming-of-age films . . . it's also so jarring that it's hard to get back into the boys' story ."
1,"if nothing else , this movie introduces a promising , unusual kind of psychological horror ."
0,"there's no point of view , no contemporary interpretation of joan's prefeminist plight , so we're left thinking the only reason to make the movie is because present standards allow for plenty of nudity ."
1,"writer-director burger imaginatively fans the embers of a dormant national grief and curiosity that has calcified into chronic cynicism and fear ."
0,"has its moments -- and almost as many subplots ."
1,". . . a roller-coaster ride of a movie"
0,"the gags , and the script , are a mixed bag ."
1,"i enjoyed time of favor while i was watching it , but i was surprised at how quickly it faded from my memory ."
0,"completely awful iranian drama . . . as much fun as a grouchy ayatollah in a cold mosque ."
0,"narratively , trouble every day is a plodding mess ."
1,"steve irwin's method is ernest hemmingway at accelerated speed and volume ."
0,"there's no point in extracting the bare bones of byatt's plot for purposes of bland hollywood romance ."
0,"directors john musker and ron clements , the team behind the little mermaid , have produced sparkling retina candy , but they aren't able to muster a lot of emotional resonance in the cold vacuum of space ."
1,"on the surface , it's a lovers-on-the-run crime flick , but it has a lot in common with piesiewicz's and kieslowski's earlier work , films like the double life of veronique ."
1,"the values that have held the enterprise crew together through previous adventures and perils do so again-courage , self-sacrifice and patience under pressure ."
1,"if it's possible for a sequel to outshine the original , then sl2 does just that ."
0,"despite engaging offbeat touches , knockaround guys rarely seems interested in kicking around a raison d'etre that's as fresh-faced as its young-guns cast ."
1,"4 friends , 2 couples , 2000 miles , and all the pabst blue ribbon beer they can drink - it's the ultimate redneck road-trip ."
1,"the film is often filled with a sense of pure wonderment and excitement not often seen in today's cinema du sarcasm"
0,"the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than , as was more likely , a victim of mental illness ."
1,"it might be tempting to regard mr . andrew and his collaborators as oddballs , but mr . earnhart's quizzical , charming movie allows us to see them , finally , as artists ."
0,"i'm not saying that ice age doesn't have some fairly pretty pictures , but there's not enough substance in the story to actually give them life ."
1,"a feel-good picture in the best sense of the term ."
0,"in the telling of a story largely untold , bui chooses to produce something that is ultimately suspiciously familiar ."
1,"a mostly intelligent , engrossing and psychologically resonant suspenser ."
0,"terminally brain dead production ."
0,"some episodes work , some don't ."
1,"this may not have the dramatic gut-wrenching impact of other holocaust films , but it's a compelling story , mainly because of the way it's told by the people who were there ."
0,"rymer doesn't trust laughs -- and doesn't conjure proper respect for followers of the whole dead-undead genre , who deserve more from a vampire pic than a few shrieky special effects ."
0,"not only are the film's sopranos gags incredibly dated and unfunny , they also demonstrate how desperate the makers of this 'we're -doing-it-for -the-cash' sequel were ."
1,"a gentle , compassionate drama about grief and healing ."
0,"wow . i have not been this disappointed by a movie in a long time ."
1,"digital-video documentary about stand-up comedians is a great glimpse into a very different world ."
0,"it's a drag how nettelbeck sees working women -- or at least this working woman -- for whom she shows little understanding ."
1,"unlike most teen flicks , swimming takes its time to tell its story , casts mostly little-known performers in key roles , and introduces some intriguing ambiguity ."
0,"'ejemplo de una cinta en que no importa el talento de su reparto o lo interesante que pudo haber resultado su premisa , pues el resultado es francamente aburrido y , por momentos , deplorable . '"
0,"will probably be one of those movies barely registering a blip on the radar screen of 2002 ."
1,"a thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action . still , this flick is fun , and host to some truly excellent sequences ."
0,"there's nothing interesting in unfaithful whatsoever ."
1,"run , don't walk , to see this barbed and bracing comedy on the big screen ."
0,"none of this is half as moving as the filmmakers seem to think ."
1,"a classy item by a legend who may have nothing left to prove but still has the chops and drive to show how its done ."
1,"it's not exactly a gourmet meal but the fare is fair , even coming from the drive-thru ."
1,"this is what imax was made for : strap on a pair of 3-d goggles , shut out the real world , and take a vicarious voyage to the last frontier -- space ."
0,"full of the kind of obnoxious chitchat that only self-aware neurotics engage in ."
1,"[schweiger is] talented and terribly charismatic , qualities essential to both movie stars and social anarchists ."
0,"the movie , like bartleby , is something of a stiff -- an extra-dry office comedy that seems twice as long as its 83 minutes ."
1,"it's a great deal of sizzle and very little steak . but what spectacular sizzle it is ! . . . in this incarnation its fizz is infectious ."
1,"an original gem about an obsession with time ."
1,"it will delight newcomers to the story and those who know it from bygone days ."
0,"the director and her capable cast appear to be caught in a heady whirl of new age-inspired good intentions , but the spell they cast isn't the least bit mesmerizing ."
1,"gloriously goofy ( and gory ) midnight movie stuff ."
1,"the film overcomes the regular minefield of coming-of-age cliches with potent doses of honesty and sensitivity ."
0,"a dramatic comedy as pleasantly dishonest and pat as any hollywood fluff ."
1,"if your senses haven't been dulled by slasher films and gorefests , if you're a connoisseur of psychological horror , this is your ticket ."
1,"it is intensely personal and yet -- unlike quills -- deftly shows us the temper of the times ."
1,"as lo-fi as the special effects are , the folks who cobbled nemesis together indulge the force of humanity over hardware in a way that george lucas has long forgotten ."
0,"so genial is the conceit , this is one of those rare pictures that you root for throughout , dearly hoping that the rich promise of the script will be realized on the screen . it never is , not fully ."
1,"like mike doesn't win any points for originality . it does succeed by following a feel-good formula with a winning style , and by offering its target audience of urban kids some welcome role models and optimism ."
0,"even in the summertime , the most restless young audience deserves the dignity of an action hero motivated by something more than franchise possibilities ."
0,"what with all the blanket statements and dime-store ruminations on vanity , the worries of the rich and sudden wisdom , the film becomes a sermon for most of its running time ."
1,"far from perfect , but its heart is in the right place . . . innocent and well-meaning ."
0,"one lousy movie ."
1,"a sad , superior human comedy played out on the back roads of life ."
0,"as gamely as the movie tries to make sense of its title character , there remains a huge gap between the film's creepy , clean-cut dahmer ( jeremy renner ) and fiendish acts that no amount of earnest textbook psychologizing can bridge ."
1,"waydowntown is by no means a perfect film , but its boasts a huge charm factor and smacks of originality ."
0,"plodding , peevish and gimmicky ."
1,"tim allen is great in his role but never hogs the scenes from his fellow cast , as there are plenty of laughs and good lines for everyone in this comedy ."
0,"the four feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox ."
0,"oozes condescension from every pore ."
1,"it's an old story , but a lively script , sharp acting and partially animated interludes make just a kiss seem minty fresh ."
1,"ray liotta and jason patric do some of their best work in their underwritten roles , but don't be fooled : nobody deserves any prizes here ."
0,"it has plenty of laughs . it just doesn't have much else . . . especially in a moral sense ."
1,"everything that has to do with yvan and charlotte , and everything that has to do with yvan's rambunctious , jewish sister and her non-jew husband , feels funny and true ."
1,"sweet home alabama " is what it is – a nice , harmless date film . . ."
1,"the year's happiest surprise , a movie that deals with a real subject in an always surprising way ."
0,"[h]ad i suffered and bled on the hard ground of ia drang , i'd want something a bit more complex than we were soldiers to be remembered by ."
1,"fans of behan's work and of irish movies in general will be rewarded by borstal boy ."
0,"it may play well as a double feature with mainstream foreign mush like my big fat greek wedding"
0,"by the time you reach the finale , you're likely wondering why you've been watching all this strutting and posturing ."
1,"stephen earnhart's homespun documentary mule skinner blues has nothing but love for its posse of trailer park denizens ."
0,"journalistically dubious , inept and often lethally dull ."
1,"a solidly seaworthy chiller ."
0,"putting the primitive murderer inside a high-tech space station unleashes a pandora's box of special effects that run the gamut from cheesy to cheesier to cheesiest ."
1,"if you can get past the fantastical aspects and harsh realities of " the isle " you'll get a sock-you-in-the-eye flick that is a visual tour-de-force and a story that is unlike any you will likely see anywhere else ."
0,"at its best , it's black hawk down with more heart . at its worst , it's rambo- meets-john ford ."
1,"there are as many misses as hits , but ultimately , it finds humor in the foibles of human behavior , and it's a welcome return to the roots of a genre that should depend on surprises ."
1,"a well-made thriller with a certain level of intelligence and non-reactionary morality ."
0,"calculated swill ."
0,"this movie . . . doesn't deserve the energy it takes to describe how bad it is ."
1,"remains a solid , if somewhat heavy-handed , account of the near-disaster . . . done up by howard with a steady , if not very imaginative , hand ."
0,"with or without ballast tanks , k-19 sinks to a harrison ford low ."
1,"makmalbaf follows a resolutely realistic path in this uncompromising insight into the harsh existence of the kurdish refugees of iran's borderlands ."
1,"for a good chunk of its running time , trapped is an effective and claustrophobic thriller ."
0,"you might be shocked to discover that seinfeld's real life is boring ."
1,"most of crush is a clever and captivating romantic comedy with a welcome pinch of tartness ."
0,"it's not nearly as fresh or enjoyable as its predecessor , but there are enough high points to keep this from being a complete waste of time ."
1,"the seaside splendor and shallow , beautiful people are nice to look at while you wait for the story to get going ."
0,"this 10th film in the series looks and feels tired ."
0,"it leers , offering next to little insight into its intriguing subject ."
1,"ranks among willams' best screen work ."
0,"i found myself growing more and more frustrated and detached as vincent became more and more abhorrent ."
1,"engagingly captures the maddening and magnetic ebb and flow of friendship ."
0,"one of the oddest and most inexplicable sequels in movie history ."
1,"an experience so engrossing it is like being buried in a new environment ."
0,"the skirmishes for power waged among victims and predators settle into an undistinguished rhythm of artificial suspense ."
0,"thoroughly awful ."
1,"this is simply the most fun you'll ever have with a documentary !"
0,"just too silly and sophomoric to ensnare its target audience ."
1,"watching haneke's film is , aptly enough , a challenge and a punishment . but watching huppert , a great actress tearing into a landmark role , is riveting ."
0,"the video work is so grainy and rough , so dependent on being 'naturalistic' rather than carefully lit and set up , that it's exhausting to watch ."
0,"a cleverly crafted but ultimately hollow mockumentary ."
1,"the kind of nervous film that will either give you a mild headache or exhilarate you ."
0,"it's tommy's job to clean the peep booths surrounding her , and after viewing this one , you'll feel like mopping up , too ."
0,"rifkin no doubt fancies himself something of a hubert selby jr . , but there isn't an ounce of honest poetry in his entire script ; it's simply crude and unrelentingly exploitative ."
1,"children may not understand everything that happens -- i'm not sure even miyazaki himself does -- but they will almost certainly be fascinated , and undoubtedly delighted ."
1,"tadpole is a sophisticated , funny and good-natured treat , slight but a pleasure ."
0,"if you go into the theater expecting a scary , action-packed chiller , you might soon be looking for a sign . an exit sign , that is ."
1,"this insightful , oscar-nominated documentary , in which children on both sides of the ever-escalating conflict have their say away from watchful parental eyes , gives peace yet another chance ."
0,"holds limited appeal to those who like explosions , sadism and seeing people beat each other to a pulp ."
0,"the dialogue is very choppy and monosyllabic despite the fact that it is being dubbed ."
1,". . . there are enough moments of heartbreaking honesty to keep one glued to the screen ."
0,"what you end up getting is the vertical limit of surfing movies - memorable stunts with lots of downtime in between ."
1,"a smart , sweet and playful romantic comedy ."
0,"bigelow handles the nuclear crisis sequences evenly but milks drama when she should be building suspense , and drags out too many scenes toward the end that should move quickly ."
1,"australian actor/director john polson and award-winning english cinematographer giles nuttgens make a terrific effort at disguising the obvious with energy and innovation ."
0,"there's undeniable enjoyment to be had from films crammed with movie references , but the fun wears thin -- then out -- when there's nothing else happening ."
1,"without heavy-handedness , dong provides perspective with his intelligent grasp of human foibles and contradictions ."
0,"imagine kevin smith , the blasphemous bad boy of suburban jersey , if he were stripped of most of his budget and all of his sense of humor . the result might look like vulgar ."
1,"solid , lump-in-the-throat family entertainment that derives its power by sticking to the facts ."
0,"suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands ."
1,"as an entertainment , the movie keeps you diverted and best of all , it lightens your wallet without leaving a sting ."
0,"what soured me on the santa clause 2 was that santa bumps up against 21st century reality so hard , it's icky ."
1,"it is interesting and fun to see goodall and her chimpanzees on the bigger-than-life screen ."
0,"it's an 88-minute highlight reel that's 86 minutes too long ."
1,"it won't bust your gut -- and it's not intended to -- it's merely a blandly cinematic surgical examination of what makes a joke a joke ."
0,"the film favors the scientific over the spectacular ( visually speaking ) ."
1,"a somewhat crudely constructed but gripping , questing look at a person so racked with self-loathing , he becomes an enemy to his own race ."
1,"narc may not get an 'a' for originality , but it wears its b-movie heritage like a badge of honor ."
0,"the whole affair is as predictable as can be ."
1,"with the film's striking ending , one realizes that we have a long way to go before we fully understand all the sexual permutations involved ."
0,"a not-so-divine secrets of the ya-ya sisterhood with a hefty helping of re-fried green tomatoes ."
1,"at its best early on as it plays the culture clashes between the brothers ."
0,"a suffocating rape-payback horror show that hinges on the subgenre's most enabling victim . . . and an ebullient affection for industrial-model meat freezers ."
0,"star trek was kind of terrific once , but now it is a copy of a copy of a copy ."
1,"a thoughtful look at a painful incident that made headlines in 1995 ."
1,"you walk out of the good girl with mixed emotions — disapproval of justine combined with a tinge of understanding for her actions ."
1,"purely propaganda , a work of unabashed hero worship , it is nonetheless -- and likely inadvertently -- a timely and invaluable implicit reminder of the role that u . s . foreign policy has played in the rise of castro ."
0,"despite a performance of sustained intelligence from stanford and another of subtle humour from bebe neuwirth , as an older woman who seduces oscar , the film founders on its lack of empathy for the social milieu - rich new york intelligentsia - and its off"
1,"now trimmed by about 20 minutes , this lavish three-year-old production has enough grandeur and scale to satisfy as grown-up escapism ."
0,"although disney follows its standard formula in this animated adventure , it feels more forced than usual ."
0,"a sham construct based on theory , sleight-of-hand , and ill-wrought hypothesis ."
1,"the dangerous lives of altar boys' take on adolescence feels painfully true ."
0,"'you'll laugh for not quite and hour and a half , but come out feeling strangely unsatisfied . you'll feel like you ate a reeses without the peanut butter . . . '"
1,"moore's performance impresses almost as much as her work with haynes in 1995's safe ."
0,"gooding offers a desperately ingratiating performance ."
0,"parker should be commended for taking a fresh approach to familiar material , but his determination to remain true to the original text leads him to adopt a somewhat mannered tone . . . that ultimately dulls the human tragedy at the story's core ."
0,"the director has injected self-consciousness into the proceedings at every turn . the results are far more alienating than involving ."
1,"mr . parker has brilliantly updated his source and grasped its essence , composing a sorrowful and hilarious tone poem about alienated labor , or an absurdist workplace sitcom ."
0,"bogdanich is unashamedly pro-serbian and makes little attempt to give voice to the other side ."
1,"the result is something quite fresh and delightful ."
0,"the worst film of the year ."
1,"despite its many infuriating flaws -- not the least of which is amy's self-absorbed personality -- amy's o's honesty will win you over ."
1,"this is one of polanski's best films ."
0,"without shakespeare's eloquent language , the update is dreary and sluggish ."
0,"if h . g . wells had a time machine and could take a look at his kin's reworked version , what would he say ? 'it looks good , sonny , but you missed the point . '"
0,"bisset delivers a game performance , but she is unable to save the movie ."
1,"denis and co-writer michele petin's impeccable screenplay penetrates with a rawness that that is both unflinching and tantalizing . lead provocatuers testud and parmentier give superlative performances"
0,"watching austin powers in goldmember is like binging on cotton candy . it's sweet and fluffy at the time , but it may leave you feeling a little sticky and unsatisfied ."
0,"the most anti-human big studio picture since 3000 miles to graceland ."
1,"i admired it , particularly that unexpected downer of an ending ."
0,"the film can depress you about life itself ."
1,"the passions aroused by the discord between old and new cultures are set against the strange , stark beauty of the mideast desert , so lovingly and perceptively filmed that you can almost taste the desiccated air ."
1,"remarkably accessible and affecting ."
1,"never mind whether you buy the stuff about barris being a cia hit man . the kooky yet shadowy vision clooney sustains throughout is daring , inventive and impressive ."
1,"a triumph of art direction over narrative , but what art direction !"
0,"the plot plummets into a comedy graveyard before janice comes racing to the rescue in the final reel ."
0,"sometimes there are very , very good reasons for certain movies to be sealed in a jar and left on a remote shelf indefinitely ."
1,"jirí hubac's script is a gem . his characters are engaging , intimate and the dialogue is realistic and greatly moving . the scope of the silberstein family is large and we grow attached to their lives , full of strength , warmth and vitality . ."
0,"at 90 minutes this movie is short , but it feels much longer ."
1,"moore's complex and important film is also , believe it or not , immensely entertaining , a david and goliath story that's still very much playing itself out ."
0,"here's my advice , kev . start reading your scripts before signing that dotted line ."
0,"an alternately raucous and sappy ethnic sitcom . . . you'd be wise to send your regrets ."
1,"though mama takes a bit too long to find its rhythm and a third-act plot development is somewhat melodramatic , its ribald humor and touching nostalgia are sure to please anyone in search of a jules and jim for the new millennium ."
0,"an ugly-duckling tale so hideously and clumsily told it feels accidental ."
1,"you might not buy the ideas . but you'll definitely want the t-shirt ."
0,"unfortunately , it's also not very good . especially compared with the television series that inspired the movie ."
1,"provides an intriguing window into the imagination and hermetic analysis of todd solondz ."
0,"it wraps up a classic mother/daughter struggle in recycled paper with a shiny new bow and while the audience can tell it's not all new , at least it looks pretty ."
1,"windtalkers is shapelessly gratifying , the kind of movie that invites you to pick apart its faults even as you have to admit that somehow it hit you where you live ."
0,"glazed with a tawdry b-movie scum ."
1,"presents an astute appraisal of middle american musical torpor and the desperate struggle to escape it ."
0,"this is the kind of movie during which you want to bang your head on the seat in front of you , at its cluelessness , at its idiocy , at its utterly misplaced earnestness ."
1,"just what makes us happy , anyway ?"
0,"it winds up moving in many directions as it searches ( vainly , i think ) for something fresh to say ."
1,"a thoughtful , moving piece that faces difficult issues with honesty and beauty ."
0,"all in all , road to perdition is more in love with strangeness than excellence ."
1,"one of the greatest romantic comedies of the past decade ."
0,"a big fat pain ."
0,"a mimetic approximation of better films like contempt and 8 1/2 ."
1,"benefits from a strong performance from zhao , but it's dong jie's face you remember at the end ."
0,"unintelligible , poorly acted , brain-slappingly bad , harvard man is ludicrous enough that it could become a cult classic ."
1,"this is a film brimming with detail and nuance and one that speaks volumes about the ability of the human spirit to find solace in events that could easily crush it forever ."
1,"the director , steven shainberg , has succeeded by focusing intently on his characters , making them quirky individuals rather than figures of fun ."
0,"aan opportunity wasted ."
1,"it ultimately stands forth as an important chronicle of the abuses of one of latin america's most oppressive regimes ."
0,"an inelegant combination of two unrelated shorts that falls far short of the director's previous work in terms of both thematic content and narrative strength ."
1,"the movie has a soft , percolating magic , a deadpan suspense ."
1,"a well-made and often lovely depiction of the mysteries of friendship ."
1,"using his audience as a figurative port-of-call , dong pulls his even-handed ideological ship to their dock for unloading , before he continues his longer journey still ahead ."
1,". . . understands that a generation defines its music as much as the music defines a generation ."
0,"though its atmosphere is intriguing . . . the drama is finally too predictable to leave much of an impression ."
1,"the transporter is as lively and as fun as it is unapologetically dumb"
0,"though this rude and crude film does deliver a few gut-busting laughs , its digs at modern society are all things we've seen before ."
1,"as a witness to several greek-american weddings -- but , happily , a victim of none -- i can testify to the comparative accuracy of ms . vardalos' memories and insights ."
0,"astonishing isn't the word -- neither is incompetent , incoherent or just plain crap . indeed , none of these words really gets at the very special type of badness that is deuces wild ."
1,"by presenting an impossible romance in an impossible world , pumpkin dares us to say why either is impossible -- which forces us to confront what's possible and what we might do to make it so ."
0,"one thing is for sure : this movie does not tell you a whole lot about lily chou-chou ."
0,"with a tone as variable as the cinematography , schaeffer's film never settles into the light-footed enchantment the material needs , and the characters' quirks and foibles never jell into charm ."
1,"an incendiary , deeply thought-provoking look at one of the most peculiar ( and peculiarly venomous ) bigotries in our increasingly frightening theocracy"
0,"cuba gooding jr . valiantly mugs his way through snow dogs , but even his boisterous energy fails to spark this leaden comedy ."
1,"it's solid and affecting and exactly as thought-provoking as it should be ."
0,"not at all clear what it's trying to say and even if it were – i doubt it would be all that interesting ."
1,"this is such a dazzlingly self-assured directorial debut that it's hard to know what to praise first ."
0,"storytelling feels slight ."
0,"[swimfan] falls victim to sloppy plotting , an insultingly unbelievable final act and a villainess who is too crazy to be interesting ."
